epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1935.02,0.01682,1.23555,1.57166,0.8095,0.7276,0.7879,0.47754,0.01897,0.92943,1.84279,0.000396265,0.000396265,0.000396265
43,1981.06,0.01618,1.142,1.52059,0.82705,0.70203,0.72789,0.45957,0.01851,0.87848,1.81425,0.000389661,0.000389661,0.000389661
44,2025.09,0.0163,1.16592,1.49636,0.87316,0.69124,0.7364,0.46856,0.0192,1.08681,1.8692,0.000383058,0.000383058,0.000383058
45,2070.33,0.01655,1.16765,1.5205,0.85745,0.67853,0.74282,0.47529,0.02039,0.92435,1.91798,0.000376455,0.000376455,0.000376455
46,2114.26,0.01605,1.12568,1.51344,0.87517,0.66746,0.81549,0.46292,0.02046,0.85144,2.09459,0.000369851,0.000369851,0.000369851
47,2158.45,0.01556,1.05914,1.4594,0.8726,0.6604,0.80446,0.48102,0.01637,0.81197,1.75156,0.000363248,0.000363248,0.000363248
48,2204.18,0.01622,1.1355,1.49342,0.71761,0.74127,0.73461,0.48062,0.01734,0.84342,1.8073,0.000356645,0.000356645,0.000356645
49,2249.18,0.01611,1.14311,1.52669,0.79435,0.69354,0.81878,0.48149,0.01694,0.85212,1.72162,0.000350042,0.000350042,0.000350042
50,2296.55,0.01561,1.08352,1.46001,0.85051,0.67663,0.71276,0.47651,0.01827,0.87393,1.77675,0.000343438,0.000343438,0.000343438
51,2341.33,0.01574,1.08195,1.49195,0.85659,0.68413,0.77132,0.47703,0.01825,0.86349,1.817,0.000336835,0.000336835,0.000336835
52,2386.74,0.01602,1.10128,1.48438,0.82947,0.68413,0.82018,0.46155,0.01767,0.84929,1.77069,0.000330232,0.000330232,0.000330232
53,2431.59,0.0157,1.0627,1.47262,0.83861,0.68413,0.76259,0.43297,0.02048,0.90373,1.92636,0.000323628,0.000323628,0.000323628
54,2482.03,0.01561,1.09572,1.485,0.83069,0.70079,0.75061,0.45616,0.01871,0.83384,1.87516,0.000317025,0.000317025,0.000317025
55,2526.25,0.01533,1.04076,1.45594,0.73818,0.73719,0.75322,0.44254,0.02174,0.93641,2.16709,0.000310422,0.000310422,0.000310422
